Transaction ID,Order ID,Customer ID,Product Name,Sub-Category,Category,Discount,Order Date,Order Day,Order Month,Order Weekday,Order Year,Quantity,Segment,State,Profit CLP,Sales CLP
21865-109365-13542,109365,21865,Xerox 22,Paper,Office Supplies,0,2016-11-03,3,11,Thursday,2016,3,Consumer,California,7267,15139
15745-162026-16405,162026,15745,Xerox 1925,Paper,Office Supplies,0,2016-10-08,8,10,Saturday,2016,2,Consumer,California,21713,48251
10090-136448-10461,136448,10090,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Accessories,Technology,0.2,2017-09-16,16,9,Saturday,2017,2,Consumer,Pennsylvania,11210,37368
16525-142993-23814,142993,16525,"Contico 72""H Heavy-Duty Storage System",Storage,Office Supplies,0,2015-10-12,12,10,Monday,2015,2,Consumer,Washington,0,63826
15280-115819-4927,115819,15280,PowerGen Dual USB Car Charger,Phones,Technology,0.2,2016-04-19,19,4,Tuesday,2016,5,Consumer,California,10114,31119
12895-152310-25048,152310,12895,Hewlett Packard 310 Color Digital Copier,Copiers,Technology,0,2017-08-12,12,8,Saturday,2017,1,Consumer,Washington,70085,233617
21790-139304-15141,139304,21790,Acme Office Executive Series Stainless Steel Trimmers,Supplies,Office Supplies,0,2017-01-29,29,1,Sunday,2017,1,Consumer,California,1735,6674
15250-151750-24566,151750,15250,GBC Instant Report Kit,Binders,Office Supplies,0.8,2017-01-01,1,1,Sunday,2017,5,Consumer,Texas,-7558,5039
18400-160857-16986,160857,18400,DAX Black Cherry Wood-Tone Poster Frame,Furnishings,Furniture,0,2015-05-08,8,5,Friday,2015,3,Consumer,New York,23508,61864
14125-146010-12052,146010,14125,GBC Durable Plastic Covers,Binders,Office Supplies,0.7,2016-05-20,20,5,Friday,2016,7,Home Office,Colorado,-25316,31645
13345-108854-16164,108854,13345,"SAFCO Mobile Desk Side File, Wire Frame",Storage,Office Supplies,0,2017-12-08,8,12,Friday,2017,1,Corporate,California,8658,33299
11365-148194-24329,148194,11365,"Eldon Regeneration Recycled Desk Accessories, Smoke",Furnishings,Furniture,0,2014-05-04,4,5,Sunday,2014,7,Corporate,Washington,3035,9485
19330-106068-12574,106068,19330,Advantus Rolling Storage Box,Storage,Office Supplies,0.2,2017-10-23,23,10,Monday,2017,1,Consumer,Texas,935,10684
16315-147662-13046,147662,16315,Belkin F8E887 USB Wired Ergonomic Keyboard,Accessories,Technology,0.2,2015-02-14,14,2,Saturday,2015,3,Consumer,Ohio,701,56051
20080-164882-6472,164882,20080,Xerox 191,Paper,Office Supplies,0,2015-10-31,31,10,Saturday,2015,1,Consumer,California,7313,15559
20305-146920-11947,146920,20305,HP Office Paper (20Lb. and 87 Bright),Paper,Office Supplies,0.2,2017-08-28,28,8,Monday,2017,5,Consumer,Illinois,7283,20808
11245-168410-15888,168410,11245,9-3/4 Diameter Round Wall Clock,Furnishings,Furniture,0,2016-02-21,21,2,Sunday,2016,5,Corporate,New York,22552,53695
14710-151190-18465,151190,14710,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",Paper,Office Supplies,0,2017-06-27,27,6,Tuesday,2017,3,Consumer,Nebraska,7190,15630
11125-113530-10911,113530,11125,Newell 314,Art,Office Supplies,0,2017-05-19,19,5,Friday,2017,1,Home Office,California,1086,4345
