Review Title;Review Text;wordcount;titleSentiment;textSentiment;Star Rating;sentimentValue
Sin conexin;Hola desde hace algo m¡s de un mes me pone sin conexin y no sale nada, antes me funcionaba correctamente.;23;negative;negative;1;-0.4863892549767946
faltan cosas;Han mejorado la apariencia pero no;20;negative;negative;1;-0.5861874727339228
Es muy buena lo recomiendo;Andres e puto amoooo;4;;negative;1;-0.6022402747857277
Version antigua;Me gustana mas la version anterior esta es mas complicada de usar hay gente cambiandosevpor esevmotivo gracias;17;;negative;1;-0.6162712056633162
Esta bien;Sin ser la biblia.... Esta bien;6;negative;negative;1;-0.6517836008462109
Buena;Nada del otro mundo pero han mejorado mucho;8;positive;negative;1;-0.7204429256151285
De gran ayuda;Lo malo q necesita de ,pero la app es muy buena;23;positive;negative;1;-0.7268254087888714
Muy buena;Estaba m¡s acostumbrado al otro dise±o, pero es cosa de acostunbrarse .. la aplicacin es escpcional;16;positive;negative;1;-0.7367694709092752
Ta to guapa.;Va de esc¡ndalo;21;positive;negative;1;-0.765283702598727
Se han corregido;Han corregido muchos fallos pero el dise±o es contrario al pedido por Google;13;negative;negative;1;-0.7979612300412889
Parece que va mejor.;No se cuelga tanto;4;positive;negative;1;-0.8334875979937725
Dice q hay una nueva versin?;Xq no me sale la opcin de actualizarla entonces?;9;negative;negative;1;-0.8384665315151861
štil;Falta opcin;4;positive;negative;1;-0.8885590350462715
Sobre permisos;Permisos a tus fotos, llamadas, conexiones wifi, etc. No nos damos cuenta pero con toda la info. que compartimos con estas apk. Nos pueden quitar nuestra intimidad. Apk borrada.;29;positive;positive;1;0.10767141790243917
identificacion de user;Estar­a bien que cada. Cuando tienes m¡s de una no pone a cual corresponde y;30;negative;positive;2;-0.0626158036127862
Fantastica;Aunque todo es mejorable le doy estrellas por su enorme utilidad;63;positive;positive;2;-0.06328214227918394
Ojo!;Lo tengo desde hace meses, pero en la actualizacin de hoy 1 de mayo de 2015 mi antiviruslo ha detectado como aplicacin potencialmente peligrosa y lo he desinstalado.;33;negative;positive;2;-0.13013846864374606
Bastante til y f¡cil de utilizar;Me ayuda bastante y la gente, a ;34;positive;positive;2;-0.2017099026902854
Buena app, pero;Buena app, pero;76;;negative;2;-0.29519369790259514
Separar las islas!!!;Porfa separen ;34;negative;negative;2;-0.5529856995159401
vuelve a funcionar;Vuelve a funcionar como debe de ser. La tenemos que cuidar y actualizar todos. ;36;negative;negative;2;-0.6150217745307491
Demasiados feaute;A ver......tiene much­simos .no mola nada;63;negative;negative;2;-0.6422284312075216
Bien;Se podr­a mejorar haciendo uso del ,,,;45;positive;negative;2;-0.7478047635470271
Mucho que mejorar;La interfaz de usuario es psima, no hay por donde cogerla. Lo ideal ser­a seguir Material Design de Google y no perder el tiempo con interfaces feas.;27;positive;negative;2;-0.769308686900702
No pude FINALIZAR!!!!;La APP no se cierra nunca.  Tengo que desinstalarla y reinstalarla cada vez que quiera usarla;32;negative;negative;2;-0.9501209717417881
Avitar;;22;negative;positive;2;0.05284059831051055
